2013;main;Bram Adams;École Polytechnique de Montréal;Canada
2013;main;Giuliano Antoniol;École Polytechnique de Montréal;Canada
2013;main;Christian Bird;Microsoft Research;USA
2013;main;Raymond Buse;Google Inc.;USA
2013;main;Gerardo Canfora;University of Sannio;Italy
2013;main;Andy Chou;Coverity Inc.;USA
2013;main;Prem Devanbu;University of California;Davis;USA
2013;main;Stephan Diehl;University Trier;Germany
2013;main;Vladimir Filkov;University of California;Davis;USA
2013;main;Thomas Fritz;University of Zurich;Switzerland
2013;main;Harald Gall;University of Zurich;Switzerland
2013;main;Daniel German;University of Victoria;Canada
2013;main;Yossi Gill;Technion;Israel
2013;main;Mike W. Godfrey;University of Waterloo;Canada
2013;main;Mark Harman;University College London;UK
2013;main;Ahmed E. Hassan;Queen’s University;Canada
2013;main;Israel Herraiz;Universidad Politécnica de Madrid;Spain
2013;main;Emily Hill;Montclair State University;USA
2013;main;Abram Hindle;University of Alberta;Canada
2013;main;Reid Holmes;University of Waterloo;Canada
2013;main;Katsuro Inoue;University of Osaka;Japan
2013;main;Foutse Khomh;Queen’s University;Canada
2013;main;Michele Lanza;University of Lugano;Switzerland
2013;main;David Lo;Singapore Management University;Singapore
2013;main;Audris Mockus;Avaya Labs Research;USA
2013;main;David Morgenthaler;Google Inc.;USA
2013;main;Thomas Ostrand;Rutgers University;USA
2013;main;John Penix;Google Inc.;USA
2013;main;Martin Pinzger;Delft Technical University;Netherlands
2013;main;Denys Poshyvanyk;The College of William and Mary;USA
2013;main;Romain Robbes;University of Chile;Chile
2013;main;Peter Rotella;Cisco Systems;USA
2013;main;Chanchal K. Roy;University of Saskatchewan;Canada
2013;main;Emad Shihab;Rochester Institute of Technology;USA
2013;main;Lin Tan;University of Waterloo;Canada
2013;main;Suresh Thummalapenta;IBM Research;India
2013;main;Jim Whitehead;University of California;Santa Cruz;USA
2013;main;Laurie Williams;North Carolina State University;USA
2013;main;Tao Xie;North Carolina State University;USA
2013;main;Andreas Zeller;Saarland University;Germany
2013;main;Dongmei Zhang;Microsoft Research;China
2013;main;Hongyu Zhang;Tsinghua University;China
